7,11,7,1,6,1,6,11,7,1,6,6,6,6,5,13,1,5,13,1,1,5,7,1,5
4,6,8,10,5,14,7,5,9,10,6,6,5,13,3,6,8,10,5,14,9,14,9,9,9
10,5,7,5,10,6,8,10,8,13,6,5,10,6,5,7,6,5,10,1,8,7,8,9,9
7,8,9,10,6,6,6,5,7,6,5,9,7,6,8,4,5,10,5,9,7,8,12,9,9
10,5,9,7,6,5,7,8,9,13,3,2,9,13,6,8,4,5,14,9,9,13,2,9,9
7,3,8,9,12,9,9,13,3,6,5,9,10,5,7,5,14,4,6,8,10,5,9,9,14
9,7,6,8,4,8,10,6,6,5,9,4,11,10,2,10,5,10,1,11,7,8,9,10,5
9,10,5,13,2,13,6,1,5,4,8,14,7,5,10,11,10,5,9,7,8,13,2,7,2
4,11,10,5,10,6,5,14,10,8,7,6,8,10,6,5,7,8,14,9,7,5,9,9,14
14,7,5,10,5,12,10,6,6,6,8,7,6,6,5,9,10,6,6,2,9,4,8,10,5
7,8,10,6,8,4,6,6,6,6,6,8,13,6,2,10,6,6,5,4,8,14,7,5,9
9,13,1,1,11,4,6,6,6,5,7,6,6,5,10,6,5,12,9,14,7,5,9,10,2
10,5,14,10,5,9,7,11,7,2,9,7,11,10,5,12,9,9,10,6,8,10,8,7,8
13,8,7,5,10,3,8,7,8,9,9,9,7,6,8,9,9,9,7,6,6,6,5,10,5
7,6,8,10,5,7,5,10,5,14,9,9,10,6,5,9,9,9,10,6,6,5,10,6,8
4,5,7,5,10,8,10,5,10,6,3,3,6,11,9,9,10,0,6,6,5,10,6,5,12
9,10,8,10,6,6,5,10,6,6,6,6,5,7,8,10,1,8,7,5,14,7,6,8,9
10,5,7,5,7,5,9,7,6,5,7,5,10,2,7,5,10,5,9,10,5,10,5,7,2
12,9,14,10,8,9,10,8,12,9,9,9,13,8,9,9,13,8,10,5,10,5,10,8,9
10,3,6,6,6,3,6,6,8,10,8,10,6,6,8,10,6,6,6,3,11,10,6,6,8
